92_3	What are other exercises besides Pendulum circles for shoulder injuries?
92_4	How do I know if my shoulder pain is serious?
92_5	When should you consider shoulder surgery?
92_6	That seems extreme. What are other ways to treat shoulder pain?
92_7	How do I stop my shoulder from hurting at my desk?
92_8	What are the benefits of a standing desk for shoulder pain?
93_1	Tell me about purchasing a Burger King franchise.
93_2	No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise.
93_3	Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?
93_4	How much does a Burger King franchise owner typically make?
93_5	Is it better to be a Burger King franchisee or an independent restaurant owner?
93_6	What support does the franchise provide?
93_7	OK let's do it. What is the process of buying a Burger King franchise?
94_1	How did snowboarding begin?
94_2	Interesting. That's later than I expected. Who were the winners of snowboarding events in the 1998 Winter Olympics?
94_3	What are strap-in snowboard bindings?
94_4	What's an alternative to the strap-in binding style for snowboarding?
94_5	What else besides bindings do I need for my first time snowboarding?
94_6	How can I teach myself to get started snowboarding?
94_7	What are the best snowboarding slopes for beginners around Seattle?
94_8	What are other things to do at Mount Bachelor Ski & Sports
95_1	How are waste and garbage processed?
95_2	Interesting. What is the impact of burning waste and garbage on the environment?
95_3	Why does waste compaction slow the biodegradation of organic waste?
95_4	How is sewage recycled?
95_5	What are the pros and cons of recycling vs composting garbage?
95_6	Tell me more about biodegradable plastics.
95_7	How are biodegradable plastics made?
95_8	How is corn oil used to make biodegradable plastics?
96_1	How do you make Japanese Yakiniku ?
96_2	Can the sauce for Yakiniku be used in other dishes?
96_3	What are the best Yakiniku restaurants in Tokyo?
96_4	Tell me about three star Michelin sushi restaurants in Tokyo.
96_5	How do I make dinner reservations in Tokyo restaurants?
96_6	Tell me what other fun things there are to do in Tokyo besides eating.
96_7	What is the cost of living in Tokyo compared to New York City (NYC)?
96_8	What is the salary of working in foreign law firms in Tokyo?
97_1	Who are the rivals of the Pittsburgh Steelers?
97_2	What are notable games between Baltimore Ravens versus Pittsburgh Steelers
97_3	What are notable moments in the Ravens and Steelers rivalry?
97_4	Tell me more about Polamalu's Interception versus Ravens in the 2008 AFC Championship game.
97_5	How about Polamalu's interception return touchdown?
97_6	Tell me more about the immaculate reception of Pittsburgh Steelers.
97_7	What happened to Three Rivers stadium?
97_8	Tell me more about Steelers' defense scheme.
98_1	What is the environmental cost of food production?
98_2	Oh that much water? How much water is used in meat production?
98_3	How much less water is used to produce vegetables compared to meat?
98_4	What are the benefits of being vegetarian to the environment?
98_5	Are there any health concerns of being vegetarian?
98_6	What are the sources of proteins for vegetarians?
98_7	Can you show me vegetarian recipes with almonds?
98_8	How do you make almond flour?
99_1	What is high blood carbon dioxide?
99_2	What should you do to treat hypercapnia?
99_3	What are treatments for high cholesterol?
99_4	What should I eat to improve high cholesterol?
99_5	What are the differences between saturated fat and trans fat?
99_6	What are the benefits of unsaturated fats?
99_7	Oh, I like fish. What foods besides fish are good sources of unsaturated fats?
99_8	What types of unsaturated fats does olive oil contain?
100_1	What causes my teeth to chip off?
100_2	Oh, what can dentists do to fix a chipped tooth?
100_3	What are the differences between dental crowns and veneers?
100_4	How does an implant compare to a crown?
100_5	Which one of dental implants or crowns is more expensive?
100_6	What is the coverage of the crown in insurance?
100_7	What is the coverage of the crown in medicare?
100_8	Show me medicare dentists in Seattle
101_1	What is Melania Trump's religion?
101_2	What did Melania Trump do before she was married?
101_3	Does Melania Trump have children?
101_4	How old is Barron Trump?
101_5	Donald and Melania Trump met at the Kit Kat Club?  Where is the Kit Kat Club?
101_6	When did Melania Trump become a model?
101_7	Does the public pay the First Lady of the United States?
101_8	Does the public pay Ivanka Trump?
101_9	Does the public pay Jared Kushner?
101_10	What does Jared Kushner do at the White House?
102_1	When did social security start in the United States (US)?
102_2	Was social security mandatory?
102_3	Who received the first social security check?
102_4	When did the government start borrowing from social security?
102_5	How much money is owed to social security?
102_6	When will social security run out of money?
102_7	Wow! What will happen if social security runs out of money?
102_8	Can social security be fixed?
102_9	How much of a tax increase will keep social security solvent?
103_1	Why were the Grateful Dead such an influential live band?
103_2	Why did the Grateful Dead allow live recordings?
103_3	Did the Grateful Dead have a number one hit?
103_4	Who was the leader of the Grateful Dead?
103_5	How did Jerry Garcia lose his finger?
103_6	What was Jerry Garcia's relationship to Jefferson Airplane?
103_7	Is Cassidy about Jack Casady?
103_8	Who wrote Cassidy?
103_9	What else did John Barlow and Bob Weir write?
103_10	Why did the Grateful Dead break up?
104_1	Who are some of the well-known Information Retrieval researchers?
104_2	What Information Retrieval research did Bruce Croft work on?
104_3	Who are some important British Information Retrieval researchers?
104_4	What did Cyril Cleverdon's studies contribute to the evaluation of Information Retrieval systems?
104_5	What are some criticisms of the Cranfield project experiments?
104_6	How did the Cranfield Experiments influence modern information retrieval evaluation initiatives?
104_7	What is TREC for information retrieval research?
104_8	What are some recent TREC tasks?
104_9	e-Discovery?  What's that?
104_10	What are the important components of an information retrieval test collection?
104_11	What about evaluation benchmarks for music information retrieval?
104_12	What are important evaluation measures for web search engines?
104_13	What are important online evaluation metrics for web search?
105_1	When did the Black Lives Matter campaign begin?
105_2	Tell me more about the shooting of Trayvon Martin.
105_3	Why was George Zimmerman acquitted?
105_4	And how what happened to Michael Brown?
105_5	"Who named the movement ""Black Lives Matter""?"
105_6	What was the US reaction to the Black Lives Matter movement?
105_7	Tell me more about the Blue Lives Matter movement.
105_8	Why were Rafael Ramos and Wenjian Liu killed?
105_9	What else motivates the Black Lives Matter movement?
