31_1	What is throat cancer?
70_2	What are its main uses? solar energy
70_3	Why is it important? solar energy
70_4	What are advantages of solar energy?
70_5	What is the cost of solar power?
70_6	How is being used in rural Africa? solar energy power
70_7	Tell me more about solar cookers work. solar energy
70_8	How is solar used in architecture?
70_9	What are important projects? solar
70_10	Can it be used to power cars? solar energy
71_1	What are mammals?
71_2	What are their key characteristics? mammals
71_3	How many legs do they have? mammals
71_4	What is the largest one on land? legs mammals
71_5	What is the largest in the world? mammals
71_6	What about in the UK? mammals
71_7	What about the largest to ever walk the earth? mammals
71_8	Tell me about Blue whales.
71_9	How much do they weigh? whales blue
71_10	Where do they live? whales blue
71_11	What do they eat? whales blue
71_12	Where can we see them? whales blue
72_1	What do Spanish people do on Christmas day?
72_2	What do they eat for dinner? spanish christmas people
72_3	How about on Christmas eve? spanish
72_4	What is the Christmas Lottery?
72_5	How does the drawing work? christmas lottery
72_6	How are the tickets sold? christmas lottery
72_7	What is Tió de Nadal?
72_8	How did this tradition start? de nadal christmas tio
72_9	How do they celebrate Three Kings Day? nadal spanish christmas
72_10	What cakes are traditional? kings spanish christmas
73_1	Who is the most successful pirate of all time?
73_2	Who is the most famous female? pirate
73_3	Tell me more about Ching Shih.
73_4	What were her code of laws? shih ching
73_5	How did she die? shih ching
73_6	Who was Anne Bonny? shih ching
73_7	What was she famous for? ching bonny anne
73_8	Who was she married to? shih ching bonny anne
73_9	How did Calico Jack die? shih ching
73_10	What happened to Anne?
74_1	What are the pros and cons of electric cars?
74_2	Tell me more about Tesla. cars electric
74_3	Why did Elon Musk start it? cars tesla electric
74_4	What models are available? cars tesla electric
74_5	What is the best selling? cars tesla electric
74_6	What is unique about the Model 3? cars tesla electric
74_7	What are the safety features? cars tesla electric model
74_8	Why is it building Gigafactories? tesla
74_9	What makes the batteries unique? tesla electric
74_10	How long can they last? cars tesla batteries electric
74_11	Tell me more about autopilot. tesla
74_12	Does it support full self-driving? cars autopilot tesla model
75_1	Why do turkey and Turkey share the same name?
75_2	Where are turkeys from?
75_3	What was their importance in native cultures? turkeys turkey
75_4	When and how were they domesticated? turkeys turkey
75_5	Can they fly? turkeys turkey
75_6	Why did Ben Franklin want it to be the national symbol? turkeys turkey
75_7	How did he cook it? turkeys turkey franklin ben
75_8	Why is it eaten on Thanksgiving? turkeys turkey
75_9	How did it become traditional for Christmas dinner in Britain? turkeys turkey
75_10	When did they become popular? turkeys turkey
76_1	What are important literary elements?
76_2	What is the difference between them and literary devices? literary elements
76_3	What is a genre? literary
76_4	What are the most important ones? genre literary
76_5	What is a trope? literary
76_6	What are important examples in fantasy?
76_7	What is the definition of allegory?
76_8	What are some important modern uses? allegory
76_9	What are the different types of foreshadowing?
76_10	What is an example? fantasy foreshadowing
77_1	What's the difference between soup and stew?
77_2	Is chilli a stew?
77_3	How about goulash?
77_4	What are popular ones in France? stew
77_5	How is cassoulet made?
77_6	Tell me about feijoada and its significance.
77_7	How is it similar or different from cassoulet? feijoada cassoulet
77_8	Tell about Bigos stew. cassoulet
77_9	Why is it important? bigos stew cassoulet
77_10	What is the history of Irish stew?
78_1	What is the keto diet?
78_2	Why was it original developed? diet keto
78_3	What is ketosis? diet
78_4	What is paleo? ketosis
78_5	What do they have in common?
78_6	How are they different?
78_7	What is intermittent fasting?
78_8	How is it related to keto? intermittent fasting
78_9	What is the 16/8 method? intermittent fasting
78_10	What is the best for weight loss?
79_1	What is taught in sociology?
79_2	What is the main contribution of Auguste Comte?
79_3	What is the role of positivism in it? auguste comte sociology
79_4	What is Herbert Spencer known for? sociology
79_5	How is his work related to Comte? auguste herbert spencer
79_6	What is the functionalist theory? auguste
79_7	What is its main criticism? functionalist
79_8	How does it compare to conflict theory? functionalist
79_9	What are modern examples of conflict theory?
80_1	What were the purposes of the Lewis and Clark expedition?
80_2	What were important plants and animals they discovered? expedition clark lewis
80_3	What were the diplomatic objectives? expedition clark lewis
80_4	What were the Native American tribes that they encountered? expedition clark lewis
80_5	How did Sacagawea help them? clark native tribes american expedition lewis
80_6	Did they find the Northwest Passage? expedition clark lewis
80_7	What was the purpose of Fort Mandan?
80_8	How did they spend the next winter? expedition clark lewis
80_9	What happened to Fort Clatsop? expedition clark lewis
80_10	What was the impact of the expedition? clark lewis
