31_1	What is throat cancer?
33_9	Tell me about the Neverending Story film. [SEP] What is it about? [SEP] How was it received? [SEP] Did it win any awards? [SEP] Was it a book first? [SEP] Who was the author and when what it published? [SEP] What are the main themes? [SEP] Who are the main characters? [SEP] What are the differences between the book and movies?
34_1	Tell me about the Bronze Age collapse.
34_2	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it?
34_3	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it? [SEP] What are some of the possible causes?
34_4	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it? [SEP] What are some of the possible causes? [SEP] Who were the Sea Peoples?
34_5	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it? [SEP] What are some of the possible causes? [SEP] Who were the Sea Peoples? [SEP] What was their role in it?
34_6	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it? [SEP] What are some of the possible causes? [SEP] Who were the Sea Peoples? [SEP] What was their role in it? [SEP] What other factors led to a breakdown of trade?
34_7	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it? [SEP] What are some of the possible causes? [SEP] Who were the Sea Peoples? [SEP] What was their role in it? [SEP] What other factors led to a breakdown of trade? [SEP] What about environmental factors?
34_8	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it? [SEP] What are some of the possible causes? [SEP] Who were the Sea Peoples? [SEP] What was their role in it? [SEP] What other factors led to a breakdown of trade? [SEP] What about environmental factors? [SEP] What empires survived?
34_9	Tell me about the Bronze Age collapse. [SEP] What is the evidence for it? [SEP] What are some of the possible causes? [SEP] Who were the Sea Peoples? [SEP] What was their role in it? [SEP] What other factors led to a breakdown of trade? [SEP] What about environmental factors? [SEP] What empires survived? [SEP] What came after it?
35_1	Tell me about the history of toilets.
35_2	Tell me about the history of toilets. [SEP] Where does the term come from?
35_3	Tell me about the history of toilets. [SEP] Where does the term come from? [SEP] Where and when was the first invented?
35_4	Tell me about the history of toilets. [SEP] Where does the term come from? [SEP] Where and when was the first invented? [SEP] Why do the Brits call it a loo?
35_5	Tell me about the history of toilets. [SEP] Where does the term come from? [SEP] Where and when was the first invented? [SEP] Why do the Brits call it a loo? [SEP] What came before them?
35_6	Tell me about the history of toilets. [SEP] Where does the term come from? [SEP] Where and when was the first invented? [SEP] Why do the Brits call it a loo? [SEP] What came before them? [SEP] When did indoor versions become common?
35_7	Tell me about the history of toilets. [SEP] Where does the term come from? [SEP] Where and when was the first invented? [SEP] Why do the Brits call it a loo? [SEP] What came before them? [SEP] When did indoor versions become common? [SEP] How many types are there?
35_8	Tell me about the history of toilets. [SEP] Where does the term come from? [SEP] Where and when was the first invented? [SEP] Why do the Brits call it a loo? [SEP] What came before them? [SEP] When did indoor versions become common? [SEP] How many types are there? [SEP] Why are they so important for society?
35_9	Tell me about the history of toilets. [SEP] Where does the term come from? [SEP] Where and when was the first invented? [SEP] Why do the Brits call it a loo? [SEP] What came before them? [SEP] When did indoor versions become common? [SEP] How many types are there? [SEP] Why are they so important for society? [SEP] What is their role in film?
36_1	What is the US Electoral College?
36_10	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen? [SEP] How has it changed over time? [SEP] What if the electors don't vote for the pledged candidate? [SEP] How has this changed election outcomes? [SEP] Who are the Hamilton Electors and what were they trying to do? [SEP] How would the College be abolished? [SEP] How does the National Popular Vote Interstate Compact work?
36_11	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen? [SEP] How has it changed over time? [SEP] What if the electors don't vote for the pledged candidate? [SEP] How has this changed election outcomes? [SEP] Who are the Hamilton Electors and what were they trying to do? [SEP] How would the College be abolished? [SEP] How does the National Popular Vote Interstate Compact work? [SEP] Is it legal?
36_2	What is the US Electoral College? [SEP] How does it work?
36_3	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation.
36_4	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen?
36_5	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen? [SEP] How has it changed over time?
36_6	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen? [SEP] How has it changed over time? [SEP] What if the electors don't vote for the pledged candidate?
36_7	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen? [SEP] How has it changed over time? [SEP] What if the electors don't vote for the pledged candidate? [SEP] How has this changed election outcomes?
36_8	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen? [SEP] How has it changed over time? [SEP] What if the electors don't vote for the pledged candidate? [SEP] How has this changed election outcomes? [SEP] Who are the Hamilton Electors and what were they trying to do?
36_9	What is the US Electoral College? [SEP] How does it work? [SEP] Tell me about its creation. [SEP] Why was the system chosen? [SEP] How has it changed over time? [SEP] What if the electors don't vote for the pledged candidate? [SEP] How has this changed election outcomes? [SEP] Who are the Hamilton Electors and what were they trying to do? [SEP] How would the College be abolished?
37_1	What was the Stanford Experiment?
37_10	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments? [SEP] What happened in the Milgram experiment? [SEP] Why was it important? [SEP] What were the similarities and differences between the studies? [SEP] What about the BBC experiment? [SEP] What are the key findings?
37_11	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments? [SEP] What happened in the Milgram experiment? [SEP] Why was it important? [SEP] What were the similarities and differences between the studies? [SEP] What about the BBC experiment? [SEP] What are the key findings? [SEP] How did the results differ?
37_12	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments? [SEP] What happened in the Milgram experiment? [SEP] Why was it important? [SEP] What were the similarities and differences between the studies? [SEP] What about the BBC experiment? [SEP] What are the key findings? [SEP] How did the results differ? [SEP] Why was it ended?
37_2	What was the Stanford Experiment? [SEP] What did it show?
37_3	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment.
37_4	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical?
37_5	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments?
37_6	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments? [SEP] What happened in the Milgram experiment?
37_7	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments? [SEP] What happened in the Milgram experiment? [SEP] Why was it important?
37_8	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments? [SEP] What happened in the Milgram experiment? [SEP] Why was it important? [SEP] What were the similarities and differences between the studies?
37_9	What was the Stanford Experiment? [SEP] What did it show? [SEP] Tell me about the author of the experiment. [SEP] Was it ethical? [SEP] What are other similar experiments? [SEP] What happened in the Milgram experiment? [SEP] Why was it important? [SEP] What were the similarities and differences between the studies? [SEP] What about the BBC experiment?
38_1	What is Lyme disease?
38_2	What is Lyme disease? [SEP] How do you get Lyme Disease?
38_3	What is Lyme disease? [SEP] How do you get Lyme Disease? [SEP] How does it make you feel?
38_4	What is Lyme disease? [SEP] How do you get Lyme Disease? [SEP] How does it make you feel? [SEP] What happens if it goes untreated?
38_5	What is Lyme disease? [SEP] How do you get Lyme Disease? [SEP] How does it make you feel? [SEP] What happens if it goes untreated? [SEP] Can it kill you?
38_6	What is Lyme disease? [SEP] How do you get Lyme Disease? [SEP] How does it make you feel? [SEP] What happens if it goes untreated? [SEP] Can it kill you? [SEP] How reliable is the test?
38_7	What is Lyme disease? [SEP] How do you get Lyme Disease? [SEP] How does it make you feel? [SEP] What happens if it goes untreated? [SEP] Can it kill you? [SEP] How reliable is the test? [SEP] Can it be cured?
38_8	What is Lyme disease? [SEP] How do you get Lyme Disease? [SEP] How does it make you feel? [SEP] What happens if it goes untreated? [SEP] Can it kill you? [SEP] How reliable is the test? [SEP] Can it be cured? [SEP] What is Chronic Lyme?
39_1	What does it mean to be a vegan?
39_2	What does it mean to be a vegan? [SEP] What is the environmental argument for it?
39_3	What does it mean to be a vegan? [SEP] What is the environmental argument for it? [SEP] Do you need milk for strong bones?
39_4	What does it mean to be a vegan? [SEP] What is the environmental argument for it? [SEP] Do you need milk for strong bones? [SEP] What are other good sources of calcium?
39_5	What does it mean to be a vegan? [SEP] What is the environmental argument for it? [SEP] Do you need milk for strong bones? [SEP] What are other good sources of calcium? [SEP] If you don't eat any meat, at all, is it bad for you?
39_6	What does it mean to be a vegan? [SEP] What is the environmental argument for it? [SEP] Do you need milk for strong bones? [SEP] What are other good sources of calcium? [SEP] If you don't eat any meat, at all, is it bad for you? [SEP] What are good sources of vitamin B12?
39_7	What does it mean to be a vegan? [SEP] What is the environmental argument for it? [SEP] Do you need milk for strong bones? [SEP] What are other good sources of calcium? [SEP] If you don't eat any meat, at all, is it bad for you? [SEP] What are good sources of vitamin B12? [SEP] Does it help you lose weight?
39_8	What does it mean to be a vegan? [SEP] What is the environmental argument for it? [SEP] Do you need milk for strong bones? [SEP] What are other good sources of calcium? [SEP] If you don't eat any meat, at all, is it bad for you? [SEP] What are good sources of vitamin B12? [SEP] Does it help you lose weight? [SEP] What about its health effects versus being vegetarian?
39_9	What does it mean to be a vegan? [SEP] What is the environmental argument for it? [SEP] Do you need milk for strong bones? [SEP] What are other good sources of calcium? [SEP] If you don't eat any meat, at all, is it bad for you? [SEP] What are good sources of vitamin B12? [SEP] Does it help you lose weight? [SEP] What about its health effects versus being vegetarian? [SEP] How does the environmental impact compare between them?
40_1	What are the origins of popular music? 
40_10	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it? [SEP] When and why did people start taking pop seriously?  [SEP] How has it been integrated into music education?  [SEP] Describe some of the influential pop bands.  [SEP] What makes a song pop punk? [SEP] What is the difference between it and emo? [SEP] How did Britpop change music? [SEP] What are its roots and what influenced it?
40_2	What are the origins of popular music?  [SEP] What are its characteristics?
40_3	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it?
40_4	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it? [SEP] When and why did people start taking pop seriously? 
40_5	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it? [SEP] When and why did people start taking pop seriously?  [SEP] How has it been integrated into music education? 
40_6	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it? [SEP] When and why did people start taking pop seriously?  [SEP] How has it been integrated into music education?  [SEP] Describe some of the influential pop bands. 
40_7	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it? [SEP] When and why did people start taking pop seriously?  [SEP] How has it been integrated into music education?  [SEP] Describe some of the influential pop bands.  [SEP] What makes a song pop punk?
40_8	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it? [SEP] When and why did people start taking pop seriously?  [SEP] How has it been integrated into music education?  [SEP] Describe some of the influential pop bands.  [SEP] What makes a song pop punk? [SEP] What is the difference between it and emo?
40_9	What are the origins of popular music?  [SEP] What are its characteristics? [SEP] What technological developments enabled it? [SEP] When and why did people start taking pop seriously?  [SEP] How has it been integrated into music education?  [SEP] Describe some of the influential pop bands.  [SEP] What makes a song pop punk? [SEP] What is the difference between it and emo? [SEP] How did Britpop change music?
41_1	Why is the drinking age in the US 21 and not 18?
41_2	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons?
41_3	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons? [SEP] Tell me about the negative health effects of drinking.
41_4	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons? [SEP] Tell me about the negative health effects of drinking. [SEP] How does binge drinking affect development?
41_5	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons? [SEP] Tell me about the negative health effects of drinking. [SEP] How does binge drinking affect development? [SEP] Can it damage mental health?
41_6	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons? [SEP] Tell me about the negative health effects of drinking. [SEP] How does binge drinking affect development? [SEP] Can it damage mental health? [SEP] What are the short and long-term effects of usage on brain chemicals?
41_7	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons? [SEP] Tell me about the negative health effects of drinking. [SEP] How does binge drinking affect development? [SEP] Can it damage mental health? [SEP] What are the short and long-term effects of usage on brain chemicals? [SEP] Are alcoholics generally depressed?
41_8	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons? [SEP] Tell me about the negative health effects of drinking. [SEP] How does binge drinking affect development? [SEP] Can it damage mental health? [SEP] What are the short and long-term effects of usage on brain chemicals? [SEP] Are alcoholics generally depressed? [SEP] What are the effects on vitamins and minerals?
41_9	Why is the drinking age in the US 21 and not 18? [SEP] What were the pros and cons? [SEP] Tell me about the negative health effects of drinking. [SEP] How does binge drinking affect development? [SEP] Can it damage mental health? [SEP] What are the short and long-term effects of usage on brain chemicals? [SEP] Are alcoholics generally depressed? [SEP] What are the effects on vitamins and minerals? [SEP] Are there any benefits?
42_1	What is Chattanooga famous for?
42_2	What is Chattanooga famous for? [SEP] What is there to do in downtown Chattanooga?
42_3	What is Chattanooga famous for? [SEP] What is there to do in downtown Chattanooga? [SEP] Are there tourism activities related to trucks or trains?
42_4	What is Chattanooga famous for? [SEP] What is there to do in downtown Chattanooga? [SEP] Are there tourism activities related to trucks or trains? [SEP] Are there any related to Bessie Smith?
42_5	What is Chattanooga famous for? [SEP] What is there to do in downtown Chattanooga? [SEP] Are there tourism activities related to trucks or trains? [SEP] Are there any related to Bessie Smith? [SEP] Can I visit some nearby distilleries?
42_6	What is Chattanooga famous for? [SEP] What is there to do in downtown Chattanooga? [SEP] Are there tourism activities related to trucks or trains? [SEP] Are there any related to Bessie Smith? [SEP] Can I visit some nearby distilleries? [SEP] What is Rock City, and why is it famous?
42_7	What is Chattanooga famous for? [SEP] What is there to do in downtown Chattanooga? [SEP] Are there tourism activities related to trucks or trains? [SEP] Are there any related to Bessie Smith? [SEP] Can I visit some nearby distilleries? [SEP] What is Rock City, and why is it famous? [SEP] Are special events held there?
42_8	What is Chattanooga famous for? [SEP] What is there to do in downtown Chattanooga? [SEP] Are there tourism activities related to trucks or trains? [SEP] Are there any related to Bessie Smith? [SEP] Can I visit some nearby distilleries? [SEP] What is Rock City, and why is it famous? [SEP] Are special events held there? [SEP] What kind of food is Chattanooga known for?
43_1	What are some interesting things around Ann Arbor?
43_2	What are some interesting things around Ann Arbor? [SEP] Tell me about when the city was founded. 
43_3	What are some interesting things around Ann Arbor? [SEP] Tell me about when the city was founded.  [SEP] How does it relate to the establishment of the University? 
43_4	What are some interesting things around Ann Arbor? [SEP] Tell me about when the city was founded.  [SEP] How does it relate to the establishment of the University?  [SEP] Does the Museum of Art have any special collections?
43_5	What are some interesting things around Ann Arbor? [SEP] Tell me about when the city was founded.  [SEP] How does it relate to the establishment of the University?  [SEP] Does the Museum of Art have any special collections? [SEP] What is the South Pond Nature Area?
43_6	What are some interesting things around Ann Arbor? [SEP] Tell me about when the city was founded.  [SEP] How does it relate to the establishment of the University?  [SEP] Does the Museum of Art have any special collections? [SEP] What is the South Pond Nature Area? [SEP] Are there any film festivals?
43_7	What are some interesting things around Ann Arbor? [SEP] Tell me about when the city was founded.  [SEP] How does it relate to the establishment of the University?  [SEP] Does the Museum of Art have any special collections? [SEP] What is the South Pond Nature Area? [SEP] Are there any film festivals? [SEP] How about for jazz?
43_8	What are some interesting things around Ann Arbor? [SEP] Tell me about when the city was founded.  [SEP] How does it relate to the establishment of the University?  [SEP] Does the Museum of Art have any special collections? [SEP] What is the South Pond Nature Area? [SEP] Are there any film festivals? [SEP] How about for jazz? [SEP] What are popular bars or clubs where I can listen to it?
44_1	What causes acidic reflux in the morning?
44_2	What causes acidic reflux in the morning? [SEP] Does it have long term side effects?
44_3	What causes acidic reflux in the morning? [SEP] Does it have long term side effects? [SEP] What is the best OTC for it?
44_4	What causes acidic reflux in the morning? [SEP] Does it have long term side effects? [SEP] What is the best OTC for it? [SEP] What are the side effects of long term PPI use?
44_5	What causes acidic reflux in the morning? [SEP] Does it have long term side effects? [SEP] What is the best OTC for it? [SEP] What are the side effects of long term PPI use? [SEP] Tell me about natural treatments.
44_6	What causes acidic reflux in the morning? [SEP] Does it have long term side effects? [SEP] What is the best OTC for it? [SEP] What are the side effects of long term PPI use? [SEP] Tell me about natural treatments. [SEP] What foods cause it?
44_7	What causes acidic reflux in the morning? [SEP] Does it have long term side effects? [SEP] What is the best OTC for it? [SEP] What are the side effects of long term PPI use? [SEP] Tell me about natural treatments. [SEP] What foods cause it? [SEP] What ones reduce it? 
44_8	What causes acidic reflux in the morning? [SEP] Does it have long term side effects? [SEP] What is the best OTC for it? [SEP] What are the side effects of long term PPI use? [SEP] Tell me about natural treatments. [SEP] What foods cause it? [SEP] What ones reduce it?  [SEP] How does exercise affect it?
45_1	What dog breed is the best for playing?
45_2	What dog breed is the best for playing? [SEP] What kind should I get if I’m allergic?
45_3	What dog breed is the best for playing? [SEP] What kind should I get if I’m allergic? [SEP] How about big and active dogs?
45_4	What dog breed is the best for playing? [SEP] What kind should I get if I’m allergic? [SEP] How about big and active dogs? [SEP] Do big dogs live longer than small dogs?
45_5	What dog breed is the best for playing? [SEP] What kind should I get if I’m allergic? [SEP] How about big and active dogs? [SEP] Do big dogs live longer than small dogs? [SEP] Will I need to put a lot of time into training?
45_6	What dog breed is the best for playing? [SEP] What kind should I get if I’m allergic? [SEP] How about big and active dogs? [SEP] Do big dogs live longer than small dogs? [SEP] Will I need to put a lot of time into training? [SEP] Tell me about some breeds that are independent and can be left home all day.
45_7	What dog breed is the best for playing? [SEP] What kind should I get if I’m allergic? [SEP] How about big and active dogs? [SEP] Do big dogs live longer than small dogs? [SEP] Will I need to put a lot of time into training? [SEP] Tell me about some breeds that are independent and can be left home all day. [SEP] How much does a Irish Wolfhound weigh?
45_8	What dog breed is the best for playing? [SEP] What kind should I get if I’m allergic? [SEP] How about big and active dogs? [SEP] Do big dogs live longer than small dogs? [SEP] Will I need to put a lot of time into training? [SEP] Tell me about some breeds that are independent and can be left home all day. [SEP] How much does a Irish Wolfhound weigh? [SEP] How much do they cost?
46_1	Why is learning a second language difficult?
46_10	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn? [SEP] How can I begin learning Norwegian? [SEP] Is it easier to learn than Spanish? [SEP] What other languages are closest to it? [SEP] Describe some of its similarities with Danish. [SEP] How did all these languages evolve? [SEP] How is it related to Old Norse? [SEP] Are there advantages of knowing multiple languages?
46_2	Why is learning a second language difficult? [SEP] At what age is it harder and why?
46_3	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn?
46_4	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn? [SEP] How can I begin learning Norwegian?
46_5	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn? [SEP] How can I begin learning Norwegian? [SEP] Is it easier to learn than Spanish?
46_6	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn? [SEP] How can I begin learning Norwegian? [SEP] Is it easier to learn than Spanish? [SEP] What other languages are closest to it?
46_7	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn? [SEP] How can I begin learning Norwegian? [SEP] Is it easier to learn than Spanish? [SEP] What other languages are closest to it? [SEP] Describe some of its similarities with Danish.
46_8	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn? [SEP] How can I begin learning Norwegian? [SEP] Is it easier to learn than Spanish? [SEP] What other languages are closest to it? [SEP] Describe some of its similarities with Danish. [SEP] How did all these languages evolve?
46_9	Why is learning a second language difficult? [SEP] At what age is it harder and why? [SEP] If I already know English, which language would be the easiest to learn? [SEP] How can I begin learning Norwegian? [SEP] Is it easier to learn than Spanish? [SEP] What other languages are closest to it? [SEP] Describe some of its similarities with Danish. [SEP] How did all these languages evolve? [SEP] How is it related to Old Norse?
47_1	Why is Boise called the city of trees?
47_2	Why is Boise called the city of trees? [SEP] How did it get its name?
47_3	Why is Boise called the city of trees? [SEP] How did it get its name? [SEP] What is there to do in the summer?
47_4	Why is Boise called the city of trees? [SEP] How did it get its name? [SEP] What is there to do in the summer? [SEP] What are popular hiking trails? 
47_5	Why is Boise called the city of trees? [SEP] How did it get its name? [SEP] What is there to do in the summer? [SEP] What are popular hiking trails?  [SEP] Tell me about the Oregon Trail Reserve.
47_6	Why is Boise called the city of trees? [SEP] How did it get its name? [SEP] What is there to do in the summer? [SEP] What are popular hiking trails?  [SEP] Tell me about the Oregon Trail Reserve. [SEP] Tell me about the history of the Boise Greenbelt.
47_7	Why is Boise called the city of trees? [SEP] How did it get its name? [SEP] What is there to do in the summer? [SEP] What are popular hiking trails?  [SEP] Tell me about the Oregon Trail Reserve. [SEP] Tell me about the history of the Boise Greenbelt. [SEP] What is the controversy around it?
48_1	What is the main function of a virtual machine?
48_2	What is the main function of a virtual machine? [SEP] What are its advantages?
48_3	What is the main function of a virtual machine? [SEP] What are its advantages? [SEP] Describe some of its disadvantages.
48_4	What is the main function of a virtual machine? [SEP] What are its advantages? [SEP] Describe some of its disadvantages. [SEP] How do they work?
48_5	What is the main function of a virtual machine? [SEP] What are its advantages? [SEP] Describe some of its disadvantages. [SEP] How do they work? [SEP] What are the main types of VMs?
48_6	What is the main function of a virtual machine? [SEP] What are its advantages? [SEP] Describe some of its disadvantages. [SEP] How do they work? [SEP] What are the main types of VMs? [SEP] What is their role in cloud computing?
48_7	What is the main function of a virtual machine? [SEP] What are its advantages? [SEP] Describe some of its disadvantages. [SEP] How do they work? [SEP] What are the main types of VMs? [SEP] What is their role in cloud computing? [SEP] How is a container different?
48_8	What is the main function of a virtual machine? [SEP] What are its advantages? [SEP] Describe some of its disadvantages. [SEP] How do they work? [SEP] What are the main types of VMs? [SEP] What is their role in cloud computing? [SEP] How is a container different? [SEP] What is the advantage of Docker?
48_9	What is the main function of a virtual machine? [SEP] What are its advantages? [SEP] Describe some of its disadvantages. [SEP] How do they work? [SEP] What are the main types of VMs? [SEP] What is their role in cloud computing? [SEP] How is a container different? [SEP] What is the advantage of Docker? [SEP] How is it related Kurbenetes?
49_1	How was Netflix started? 
49_10	How was Netflix started?  [SEP] How did it originally work? [SEP] What is its relationship with Blockbuster? [SEP] When did Netflix shift from DVDs to a streaming service? [SEP] What are its other competitors?  [SEP] How does it compare to Amazon Prime Video? [SEP] Describe it’s subscriber growth over time. [SEP] How has it changed the way TV is watched? [SEP] How has it impacted society? [SEP] How about dating and relationships? 
49_2	How was Netflix started?  [SEP] How did it originally work?
